,clicksCount,colorDepth,keyMediumCount,keyMediumSpeed,keyMediumTime,middleSpeed,screenDiagonal,screenHeight,screenWidth,userAgentCoresCount,userAgentDownLink,id,windowHistoryLength,userAgentSaveData,userAgentRtt,screenOrientation_horizontal,userAgentCodeName_Mozilla,userAgentEffectiveType_3g,userAgentEffectiveType_4g,userAgentName_Netscape,userAgentPlatform_Linux,userAgentPlatform_MacOS,userAgentPlatform_Win32,userAgentPlatform_Win64,Class
0,16,24,4,13,612,0.3355765643192785,50,1080,1920,14,11,34,4,True,194.0,1,1,0,1,1,1,0,0,0,0
1,20,24,7,20,749,0.3071137222963581,50,1080,1920,9,17,54,3,True,4.0,1,1,0,1,1,0,1,0,0,0
2,12,24,10,48,927,0.02379004274165009,50,1080,1920,13,6,37,4,True,252.0,1,1,0,1,1,1,0,0,0,0
3,12,24,7,36,201,-0.2388776802723125,50,1080,1920,4,8,66,3,False,150.0,1,1,0,1,1,0,0,1,0,0
4,12,24,18,28,819,0.1447961078239867,50,1080,1920,15,15,21,4,True,141.0,1,1,0,1,1,0,0,1,0,0
5,13,24,9,49,442,-0.06633294713830472,50,1080,1920,7,14,53,3,False,8.0,1,1,0,1,1,1,0,0,0,0
6,12,24,7,51,950,0.16413425622924754,50,1080,1920,12,11,18,3,False,112.0,1,1,0,1,1,0,0,0,1,0
7,7,24,7,63,998,-0.01256768948972516,50,1080,1920,14,8,1,4,True,107.0,1,1,0,1,1,0,0,1,0,0
8,20,24,13,46,629,0.4277937225082283,50,1080,1920,12,20,79,4,True,237.0,1,1,0,1,1,0,0,1,0,0
9,3,24,10,44,700,0.2950668423141588,50,1080,1920,8,14,74,1,True,85.0,1,1,0,1,1,1,0,0,0,0
10,1,24,15,12,929,0.5879672662484826,50,1080,1920,15,11,77,3,False,231.0,1,1,0,1,1,0,1,0,0,0
11,9,24,8,63,428,0.6640613928724957,50,1080,1920,11,9,29,4,False,88.0,1,1,0,1,1,1,0,0,0,0
12,15,24,4,30,401,0.3213858918207154,50,1080,1920,13,21,86,2,False,30.0,1,1,0,1,1,0,0,0,1,0
